측정일시	측정소명	이산화질소농도(ppm)	오존농도(ppm)	일산화탄소농도(ppm)	아황산가스(ppm)	미세먼지(ug/m^2)	초미세먼지(ug/m^2)
20170109	송파구	0.02	0.032	0.7	0.005	57	41
20170109	종로구	0.022	0.028	0.6	0.005	56	46
20170109	용산구	0.023	0.023	0.6	0.005	53	45
20170109	은평구	0.016	0.016	0.7	0.004	64	48
20170109	종로	0.02	0.02	0.5	0.004	56	48
20170109	중랑구	0.023	0.024	0.5	0.005	62	48
20170109	청계천로	0.028	0.021	0.5	0.006	50	
20170109	강동구	0.024	0.025	0.7	0.005	65	47
20170109	서대문구	0.019	0.03	0.7	0.006	65	47
20170109	양천구	0.024	0.018	0.7	0.006	59	41
20170109	구로구	0.016	0.027	0.6	0.007	64	46
20170109	천호대로	0.035	0.018	0.5	0.005	56	44
20170109	동대문구	0.018	0.021	0.7	0.005	64	47
20170109	금천구	0.028	0.025	0.7	0.005	57	47
20170109	도봉구	0.013	0.033	0.6	0.005	59	41
20170109	공항대로	0.034	0.019	0.5	0.006	70	
20170109	마포구	0.024	0.026	0.7	0.005	64	52
20170109	중구	0.021	0.028	0.6	0.005	55	46
20170109	영등포로	0.056	0.016	0.6	0.007	76	55
20170109	강북구	0.012	0.038	0.6	0.006	51	45
20170109	홍릉로	0.036	0.019	1	0.008	58	
20170109	신촌로	0.04	0.011	1	0.006	59	
20170109	강서구	0.019	0.029	0.6	0.007	64	45
20170109	도산대로	0.023	0.019	0.9	0.006	61	
20170109	관악구	0.026	0.025	0.7	0.007	51	44
20170109	강남구	0.021	0.025	0.6	0.006	65	46
20170109	노원구	0.02	0.033	0.6	0.005	52	45
20170109	광진구	0.022	0.032	0.7	0.005	58	50
20170109	화랑로	0.036	0.02	0.6	0.005	63	
20170109	동작대로	0.05	0.02	0.8	0.006	73	63
20170109	한강대로	0.033	0.022	0.7	0.005	77	52
20170109	영등포구	0.018	0.023	0.9	0.004	61	49
20170109	성북구	0.022	0.023	0.6	0.005	59	48
20170108	양천구	0.034	0.009	0.6	0.005	31	19
20170108	성북구	0.034	0.013	0.6	0.004	35	24
20170108	청계천로	0.039	0.011	0.5	0.005	30	
20170108	금천구	0.038	0.015	0.6	0.004	31	24
20170108	도봉구	0.027	0.02	0.7	0.004	34	21
20170108	정릉로	0.029	0.015	0.6	0.005	37	20
20170108	동작구	0.041	0.013	0.6	0.004	31	24
20170108	종로	0.041	0.009	0.5	0.004	36	28
20170108	은평구	0.026	0.01	0.6	0.004	31	20
20170108	강남구	0.032	0.012	0.5	0.005	32	18
20170108	용산구	0.033	0.012	0.5	0.004	29	26
20170108	중구	0.036	0.014	0.5	0.003	30	23
20170108	서대문구	0.022	0.027	0.5	0.005	26	18
20170108	강동구	0.031	0.016	0.6	0.004	29	19
20170108	성동구	0.034	0.012	0.4	0.004	32	20
20170108	신촌로	0.043	0.009	0.9	0.005	31	
20170108	영등포로	0.066	0.008	0.6	0.006	44	28
20170108	강북구	0.024	0.022	0.5	0.006	23	19
20170108	송파구	0.032	0.017	0.7	0.004	28	20
20170108	한강대로	0.044	0.009	0.6	0.004	42	25
20170108	구로구	0.025	0.015	0.5	0.006	31	20
20170108	천호대로	0.045	0.009	0.5	0.004	31	24
20170108	영등포구	0.022	0.014	0.8	0.004	29	21
20170108	서초구	0.035	0.018	0.6	0.004	33	17
20170108	노원구	0.032	0.018	0.6	0.005	31	23
20170108	마포구	0.034	0.016	0.6	0.003	34	26
20170108	강변북로	0.044	0.007	0.6	0.004	45	
20170108	중랑구	0.035	0.013	0.5	0.005	31	20
20170108	공항대로	0.044	0.009	0.6	0.006	54	
