title,release_date,week1_sales,week1_seen,nation,production,distributor,rating,genre,total_seen,total_sales
개구쟁이 스머프 2,2013-08-01,3752788000,568899,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,애니메이션,919999,5981827500
명탐정 코난 : 수평선상의 음모,2013-08-07,1581092500,250860,일본,,씨제이이앤엠 주식회사,12세이상관람가,애니메이션,389873,2465133000
에픽 : 숲속의 전설,2013-08-07,3478136000,497666,미국,,이십세기폭스코리아(주),전체관람가,애니메이션,978788,6748089000
감기,2013-08-14,14674389500,2084715,한국,"아이러브시네마,(주)아이필름코퍼레이션,씨제이이앤엠 주식회사",아이러브시네마,15세이상관람가,드라마,3118801,21782612000
숨바꼭질,2013-08-14,18445610500,2613622,한국,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러/공포,5603987,39601563500
나우 유 씨 미 : 마술사기단,2013-08-22,10067003587,1434840,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,미스터리/범죄,2718036,19145648869
R.I.P.D. : 알.아이.피.디.,2013-08-22,704020571,98384,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션/어드벤쳐,101425,725156071
일대종사,2013-08-22,491855000,69148,중국,,CGV 무비꼴라쥬,12세이상관람가,액션/어드벤쳐,101351,732757000
엘리시움,2013-08-29,6668499500,894342,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),청소년관람불가,액션/어드벤쳐,1207370,9015843500
잡스,2013-08-29,1373572136,194512,미국,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,225142,1594086136
바람이 분다,2013-09-05,654389000,93568,일본,스튜디오 지브리,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,106432,747207500
스파이,2013-09-05,8720924000,1233146,한국,"(주)제이케이필름,씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,15세이상관람가,액션/어드벤쳐,3434683,24502715305
관상,2013-09-11,22868908500,3231082,한국,"(주)주피터필름,쇼박스㈜미디어플렉스",쇼박스㈜미디어플렉스,15세이상관람가,기타,9075555,65600129000
