category,date,href,number,president,sub_category,title
국정전반,2008.10.01,?spMode=view&catid=c_pa02062&artid=1310261,682,이명박,기념사,국토연구원 개원 30주년 기념식 축사
문화/체육/관광,2008.10.01,?spMode=view&catid=c_pa02062&artid=1310262,681,이명박,치사,한국 구세군 100주년 축하 메시지
기타,2008.10.02,?spMode=view&catid=c_pa02062&artid=1310263,680,이명박,치사,제12회 노인의 날 축사
문화/체육/관광,2008.10.09,?spMode=view&catid=c_pa02062&artid=1310264,679,이명박,치사,제2회 역사 NGO 세계대회 개막식 축사
교육,2008.10.10,?spMode=view&catid=c_pa02062&artid=1310265,678,이명박,기타,2014 국제수학자대회 유치 지지 편지
문화/체육/관광,2008.10.10,?spMode=view&catid=c_pa02062&artid=1310269,677,이명박,치사,제11차 한·중·일 불교우호교류대회 축사
산업/경제,2008.10.10,?spMode=view&catid=c_pa02062&artid=1310267,676,이명박,치사,서울경제TV(SEN) 개국축사
문화/체육/관광,2008.10.10,?spMode=view&catid=c_pa02062&artid=1310266,675,이명박,치사,서울 디자인올림픽 2008 개막식 축사
문화/체육/관광,2008.10.10,?spMode=view&catid=c_pa02062&artid=1310268,674,이명박,치사,제89회 전국체육대회 개막식 축사
문화/체육/관광,2008.10.11,?spMode=view&catid=c_pa02062&artid=1310270,673,이명박,치사,제3회 한·미 국가조찬기도회 축하 메시지
국정전반,2008.10.13,?spMode=view&catid=c_pa02062&artid=1310271,672,이명박,기타,제1차 라디오 연설
