"기준일","요일","성별","연령대","시도","시군구","업종","통화건수"
"20160302","수","여","10대","서울특별시","관악구","치킨","28"
"20160302","수","여","30대","서울특별시","관악구","치킨","108"
"20160302","수","남","30대","서울특별시","관악구","치킨","148"
"20160302","수","여","40대","서울특별시","관악구","치킨","95"
"20160302","수","남","40대","서울특별시","관악구","치킨","63"
"20160302","수","남","20대","서울특별시","관악구","치킨","168"
"20160302","수","남","10대","서울특별시","광진구","치킨","32"
"20160302","수","남","60대이상","서울특별시","광진구","치킨","5"
"20160302","수","남","40대","서울특별시","광진구","치킨","31"
"20160302","수","남","30대","서울특별시","광진구","치킨","37"
"20160302","수","여","10대","서울특별시","광진구","치킨","20"
"20160302","수","여","30대","서울특별시","광진구","치킨","47"
"20160302","수","여","60대이상","서울특별시","광진구","치킨","13"
"20160302","수","여","50대","서울특별시","광진구","치킨","24"
"20160302","수","남","50대","서울특별시","광진구","치킨","15"
"20160302","수","남","20대","서울특별시","광진구","치킨","61"
"20160302","수","여","20대","서울특별시","광진구","치킨","54"
"20160302","수","여","40대","서울특별시","광진구","치킨","67"
"20160302","수","여","60대이상","서울특별시","구로구","치킨","15"
"20160302","수","여","10대","서울특별시","구로구","치킨","26"
"20160302","수","남","20대","서울특별시","구로구","치킨","85"
"20160302","수","여","50대","서울특별시","구로구","치킨","32"
"20160302","수","남","60대이상","서울특별시","구로구","치킨","18"
"20160302","수","남","50대","서울특별시","구로구","치킨","32"
"20160302","수","남","10대","서울특별시","구로구","치킨","39"
"20160302","수","남","30대","서울특별시","구로구","치킨","87"
"20160302","수","여","30대","서울특별시","구로구","치킨","127"
"20160302","수","남","40대","서울특별시","구로구","치킨","75"
"20160302","수","여","40대","서울특별시","구로구","치킨","78"
"20160302","수","여","20대","서울특별시","구로구","치킨","71"
"20160302","수","남","60대이상","서울특별시","금천구","치킨","5"
"20160302","수","남","10대","서울특별시","금천구","치킨","21"
"20160302","수","여","20대","서울특별시","금천구","치킨","29"
"20160302","수","남","50대","서울특별시","금천구","치킨","14"
"20160302","수","여","60대이상","서울특별시","금천구","치킨","10"
"20160302","수","여","50대","서울특별시","금천구","치킨","19"
"20160302","수","여","10대","서울특별시","금천구","치킨","9"
"20160302","수","여","30대","서울특별시","금천구","치킨","33"
"20160302","수","남","30대","서울특별시","금천구","치킨","40"
"20160302","수","여","40대","서울특별시","금천구","치킨","41"
"20160302","수","남","40대","서울특별시","금천구","치킨","18"
"20160302","수","남","20대","서울특별시","금천구","치킨","38"
"20160302","수","여","10대","서울특별시","노원구","치킨","19"
"20160302","수","여","60대이상","서울특별시","노원구","치킨","12"
"20160302","수","남","30대","서울특별시","노원구","치킨","62"
"20160302","수","남","40대","서울특별시","노원구","치킨","75"
"20160302","수","남","10대","서울특별시","노원구","치킨","28"
"20160302","수","여","40대","서울특별시","노원구","치킨","121"
"20160302","수","남","60대이상","서울특별시","노원구","치킨","13"
"20160302","수","남","20대","서울특별시","노원구","치킨","70"
"20160302","수","여","20대","서울특별시","노원구","치킨","60"
"20160302","수","여","50대","서울특별시","노원구","치킨","44"
"20160302","수","남","50대","서울특별시","노원구","치킨","17"
"20160302","수","여","30대","서울특별시","노원구","치킨","90"
"20160302","수","남","50대","서울특별시","도봉구","치킨","7"
"20160302","수","여","50대","서울특별시","도봉구","치킨","18"
"20160302","수","남","30대","서울특별시","도봉구","치킨","37"
"20160302","수","남","40대","서울특별시","도봉구","치킨","16"
"20160302","수","여","20대","서울특별시","도봉구","치킨","46"
"20160302","수","여","40대","서울특별시","도봉구","치킨","34"
"20160302","수","남","20대","서울특별시","도봉구","치킨","47"
"20160302","수","여","10대","서울특별시","도봉구","치킨","128"
"20160302","수","여","60대이상","서울특별시","도봉구","치킨","10"
"20160302","수","남","10대","서울특별시","도봉구","치킨","152"
"20160302","수","남","60대이상","서울특별시","도봉구","치킨","5"
"20160302","수","여","30대","서울특별시","도봉구","치킨","29"
"20160302","수","남","10대","서울특별시","동대문구","치킨","15"
"20160302","수","남","60대이상","서울특별시","동대문구","치킨","8"
"20160302","수","남","20대","서울특별시","동대문구","치킨","62"
"20160302","수","여","50대","서울특별시","동대문구","치킨","25"
"20160302","수","여","10대","서울특별시","동대문구","치킨","11"
"20160302","수","남","50대","서울특별시","동대문구","치킨","24"
"20160302","수","여","60대이상","서울특별시","동대문구","치킨","10"
"20160302","수","남","30대","서울특별시","동대문구","치킨","54"
"20160302","수","여","30대","서울특별시","동대문구","치킨","53"
"20160302","수","남","40대","서울특별시","동대문구","치킨","38"
"20160302","수","여","40대","서울특별시","동대문구","치킨","66"
"20160302","수","여","20대","서울특별시","동대문구","치킨","48"
"20160302","수","남","30대","서울특별시","동작구","치킨","70"
"20160302","수","여","30대","서울특별시","동작구","치킨","70"
"20160302","수","남","50대","서울특별시","동작구","치킨","9"
"20160302","수","여","20대","서울특별시","동작구","치킨","46"
"20160302","수","남","40대","서울특별시","동작구","치킨","45"
"20160302","수","남","20대","서울특별시","동작구","치킨","82"
"20160302","수","여","40대","서울특별시","동작구","치킨","45"
"20160302","수","남","10대","서울특별시","동작구","치킨","22"
"20160302","수","남","60대이상","서울특별시","동작구","치킨","9"
"20160302","수","여","10대","서울특별시","동작구","치킨","12"
"20160302","수","여","60대이상","서울특별시","동작구","치킨","10"
"20160302","수","여","50대","서울특별시","동작구","치킨","13"
"20160302","수","남","60대이상","서울특별시","마포구","치킨","8"
"20160302","수","남","10대","서울특별시","마포구","치킨","21"
"20160302","수","남","30대","서울특별시","마포구","치킨","80"
"20160302","수","남","40대","서울특별시","마포구","치킨","32"
"20160302","수","여","60대이상","서울특별시","마포구","치킨","14"
"20160302","수","여","40대","서울특별시","마포구","치킨","81"
"20160302","수","여","10대","서울특별시","마포구","치킨","9"
"20160302","수","남","20대","서울특별시","마포구","치킨","57"
"20160302","수","여","20대","서울특별시","마포구","치킨","58"
"20160302","수","여","50대","서울특별시","마포구","치킨","29"
"20160302","수","남","50대","서울특별시","마포구","치킨","26"
"20160302","수","여","30대","서울특별시","마포구","치킨","90"
"20160302","수","여","10대","서울특별시","서대문구","치킨","11"
"20160302","수","여","60대이상","서울특별시","서대문구","치킨","12"
"20160302","수","남","30대","서울특별시","서대문구","치킨","46"
"20160302","수","남","40대","서울특별시","서대문구","치킨","34"
"20160302","수","남","10대","서울특별시","서대문구","치킨","18"
"20160302","수","여","40대","서울특별시","서대문구","치킨","63"
"20160302","수","남","60대이상","서울특별시","서대문구","치킨","19"
"20160302","수","남","20대","서울특별시","서대문구","치킨","59"
"20160302","수","여","20대","서울특별시","서대문구","치킨","46"
"20160302","수","여","50대","서울특별시","서대문구","치킨","17"
"20160302","수","남","50대","서울특별시","서대문구","치킨","22"
"20160302","수","여","30대","서울특별시","서대문구","치킨","54"
